Loading inference model from files models/v0.5.0/output_graph.pbLoaded inference model in 0.164s.Loading language model from files models/v0.5.0/alphabet.txt models/v0.5.0/trieLoaded language model in 23.4s.# File (1089-134686-0000.flac):
# - 10.435 seconds long.
# - actual    text: 'he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce'
# - processed text: 'he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flower fattened sauce'
# - processed in 9.564 seconds.
# - WER = 0.036
# File (1089-134686-0001.flac):
# - 3.275 seconds long.
# - actual    text: 'stuff it into you his belly counselled him'
# - processed text: 'stuff it into you his belly counselled him'
# - processed in 2.181 seconds.
# - WER = 0.0
# File (1089-134686-0002.flac):
# - 6.625 seconds long.
# - actual    text: 'after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels'
# - processed text: 'after early nightfall the yellow lamps would light up here and there the squalid quarter of the bravos'
# - processed in 4.298 seconds.
# - WER = 0.056
# File (1089-134686-0003.flac):
# - 2.68 seconds long.
# - actual    text: 'hello bertie any good in your mind'
# - processed text: 'a party and he good in your mind'
# - processed in 1.743 seconds.
# - WER = 0.571
# File (1089-134686-0004.flac):
# - 5.2150625 seconds long.
# - actual    text: 'number ten fresh nelly is waiting on you good night husband'
# - processed text: 'number ten fresh nelly is waiting on you good night husband'
# - processed in 3.414 seconds.
# - WER = 0.0
# File (1089-134686-0005.flac):
# - 9.635 seconds long.
# - actual    text: 'the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness'
# - processed text: 'the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness'
# - processed in 6.078 seconds.
# - WER = 0.0
# File (1089-134686-0006.flac):
# - 10.555 seconds long.
# - actual    text: 'the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail'
# - processed text: 'the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail'
# - processed in 6.57 seconds.
# - WER = 0.0
# File (1089-134686-0007.flac):
# - 4.275 seconds long.
# - actual    text: 'a cold lucid indifference reigned in his soul'
# - processed text: 'a cold lucid indifference reigned in his soul'
# - processed in 2.552 seconds.
# - WER = 0.0
# File (1089-134686-0008.flac):
# - 6.73 seconds long.
# - actual    text: 'the chaos in which his ardour extinguished itself was a cold indifferent knowledge of himself'
# - processed text: 'the chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself'
# - processed in 4.139 seconds.
# - WER = 0.067
# File (1089-134686-0009.flac):
# - 10.575 seconds long.
# - actual    text: 'at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace'
# - processed text: 'as most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace'
# - processed in 6.526 seconds.
# - WER = 0.037
# File (1089-134686-0010.flac):
# - 4.405 seconds long.
# - actual    text: 'well now ennis i declare you have a head and so has my stick'
# - processed text: 'well now and is i declare you have a head and so has my stick'
# - processed in 2.654 seconds.
# - WER = 0.143
# File (1089-134686-0011.flac):
# - 12.445 seconds long.
# - actual    text: 'on saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses'
# - processed text: 'on saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses'
# - processed in 8.259 seconds.
# - WER = 0.0
# File (1089-134686-0012.flac):
# - 11.64 seconds long.
# - actual    text: 'her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her'
# - processed text: 'her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her'
# - processed in 7.251 seconds.
# - WER = 0.0
# File (1089-134686-0013.flac):
# - 7.915 seconds long.
# - actual    text: 'if ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight'
# - processed text: 'if ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight'
# - processed in 4.89 seconds.
# - WER = 0.0
# File (1089-134686-0014.flac):
# - 2.225 seconds long.
# - actual    text: 'he tried to think how it could be'
# - processed text: 'he tried to think how it could be'
# - processed in 1.352 seconds.
# - WER = 0.0
# File (1089-134686-0015.flac):
# - 5.815 seconds long.
# - actual    text: 'but the dusk deepening in the schoolroom covered over his thoughts the bell rang'
# - processed text: 'but the dusk deepening in the school room covered over his thoughts the bell rang'
# - processed in 3.617 seconds.
# - WER = 0.143
# File (1089-134686-0016.flac):
# - 3.54 seconds long.
# - actual    text: 'then you can ask him questions on the catechism dedalus'
# - processed text: 'then you can ask him questions on the catechism dedalus'
# - processed in 2.179 seconds.
# - WER = 0.0
# File (1089-134686-0017.flac):
# - 8.87 seconds long.
# - actual    text: 'stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying'
# - processed text: 'stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying'
# - processed in 5.568 seconds.
# - WER = 0.0
# File (1089-134686-0018.flac):
# - 15.72 seconds long.
# - actual    text: 'it was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation'
# - processed text: 'it was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation'
# - processed in 9.691 seconds.
# - WER = 0.0
# File (1089-134686-0019.flac):
# - 13.895 seconds long.
# - actual    text: 'the sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state'
# - processed text: 'the sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state'
# - processed in 8.992 seconds.
# - WER = 0.0
# File (1089-134686-0020.flac):
# - 16.79 seconds long.
# - actual    text: 'if a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune'
# - processed text: 'if a man had stole in a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only wore the pound together with the compound interest accruing upon it or all his huge fortune'
# - processed in 11.024 seconds.
# - WER = 0.06
# File (1089-134686-0021.flac):
# - 6.55 seconds long.
# - actual    text: 'if a layman in giving baptism pour the water before saying the words is the child baptized'
# - processed text: 'if a layman in giving baptism pour the water before saying the word is the child baptized'
# - processed in 4.269 seconds.
# - WER = 0.059
# File (1089-134686-0022.flac):
# - 11.175 seconds long.
# - actual    text: 'how comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they shall possess the land'
# - processed text: 'how comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second the attitude promises also to the meek that they shall possess the land'
# - processed in 7.04 seconds.
# - WER = 0.062
# File (1089-134686-0023.flac):
# - 13.275 seconds long.
# - actual    text: 'why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone'
# - processed text: 'why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone'
# - processed in 8.352 seconds.
# - WER = 0.0
# File (1089-134686-0024.flac):
# - 11.655 seconds long.
# - actual    text: 'if the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man'
# - processed text: 'if the wine changed into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man'
# - processed in 7.458 seconds.
# - WER = 0.033
# File (1089-134686-0025.flac):
# - 6.61 seconds long.
# - actual    text: 'a gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question'
# - processed text: 'a gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question'
# - processed in 4.134 seconds.
# - WER = 0.0
# File (1089-134686-0026.flac):
# - 4.01 seconds long.
# - actual    text: 'the rector did not ask for a catechism to hear the lesson from'
# - processed text: 'the rector did not ask for a catechism to hear the lesson from'
# - processed in 2.585 seconds.
# - WER = 0.0
# File (1089-134686-0027.flac):
# - 2.71 seconds long.
# - actual    text: 'he clasped his hands on the desk and said'
# - processed text: 'he clasped his hands on the desk and said'
# - processed in 1.658 seconds.
# - WER = 0.0
# File (1089-134686-0028.flac):
# - 7.83 seconds long.
# - actual    text: 'the retreat will begin on wednesday afternoon in honour of saint francis xavier whose feast day is saturday'
# - processed text: 'the retreat will begin on wednesday afternoon in honour of saint francis saviour whose feast day is saturday'
# - processed in 4.833 seconds.
